database,workload,count,p50_ms,p95_ms,p99_ms,mean_ms,std_ms,min_ms,max_ms,throughput_qps,errors,concurrency,successful_ops,failed_ops,wall_clock_ms,read_throughput_qps,write_throughput_qps
cognodb,one_hop,100,249.48764999999997,261.823135,285.488037,251.28759500000004,6.6144975247009485,247.2942,288.4518,3.978973765686925,0,,100,0,25132.108,,
cognodb,two_hop,100,250.15045,293.523095,341.4155600000103,275.61441399999995,208.0667378744181,246.6625,2341.4096,3.6277315217622332,0,,100,0,27565.436,,
cognodb,three_hop,100,255.6732,1025.4376300000001,1815.1023960000118,397.135519,456.00571935539585,246.642,4115.8521,2.5178052895564207,0,,100,0,39717.13,,
cognodb,point_lookup,100,249.21575,275.71895,300.73062200000004,252.17923599999997,10.116601292316703,246.6316,305.069,3.9648067418588826,0,,100,0,25221.91,,
cognodb,filtered_lookup,100,339.2887,413.141955,505.7811630000001,338.024896,46.324598534499835,282.2599,523.6569,2.9580311318755568,0,,100,0,33806.27,,
cognodb,aggregation,100,1504.04015,2495.7458399999996,3328.9469710000667,1801.0155199999997,1498.2120122287497,1211.1102,16187.2126,0.5552305091178324,0,,100,0,180105.377,,
cognodb,mixed_c1,100,250.0969,1174.2762500000001,1571.5125600000008,472.04793099999995,387.62999017160803,246.5019,1744.8279,2.117924323522581,0,1,100,0,47216.04,1.6096224858771617,0.5083018376454195
cognodb,mixed_c10,1000,288.63305,1395.4101449999998,2120.972557,445.9336202,431.67127314681807,244.8952,4008.0771,21.92778671985611,0,10,1000,0,45604.238,17.41066265556575,4.517124064290359
cognodb,mixed_c40,4000,289.52255,1327.5103399999996,2575.823488999997,480.42790035,438.85512058743876,242.1726,5897.4462,81.26307225714508,0,40,4000,0,49222.85,64.68540551668748,16.577666740457598
neo4j,one_hop,100,53.9694,58.287425,224.07935900000095,59.951310000000014,39.378043147549874,51.4812,406.2155,16.670459196133788,0,,100,0,5998.635,,
neo4j,two_hop,100,54.44905,58.07573,145.8014340000001,57.28955100000001,15.974989385589556,51.0693,171.6141,17.44433056203976,0,,100,0,5732.521,,
neo4j,three_hop,100,55.168949999999995,125.92073499999974,1013.9841840000122,110.045233,343.1386862956668,51.674,3362.5497,9.083799943912986,0,,100,0,11008.609,,
neo4j,point_lookup,100,54.1606,55.74861,56.812339,53.958449,1.2592840571130088,51.3182,57.0241,18.52035923644485,0,,100,0,5399.463,,
neo4j,filtered_lookup,100,57.44515,59.41335,59.84047100000001,57.51044199999998,1.084238321696849,55.0732,60.4613,17.377121594496874,0,,100,0,5754.693,,
neo4j,aggregation,100,105.4083,125.99461000000001,410.31039700000014,114.49895399999997,44.39365169440879,101.3449,430.714,8.730999664013671,0,,100,0,11453.442,,
neo4j,mixed_c1,100,55.3332,93.24288999999993,372.1000090000002,65.15031,48.474618821557534,51.9877,415.5817,15.326167042408088,0,1,100,0,6524.789,11.647886952230145,3.6782800901779407
neo4j,mixed_c10,1000,56.2688,120.41261499999993,1472.8476109999983,109.5431936,336.41401239772534,49.3894,5432.9181,90.87667024390561,0,10,1000,0,11003.924,72.15607617366105,18.720594070244555
