database,workload,iteration,start_node,latency_ms,success,error,concurrency,op_type
arangodb,one_hop,0,2106,261.0578,True,,,read
arangodb,one_hop,1,6114,257.4997,True,,,read
arangodb,one_hop,2,6217,260.2146,True,,,read
arangodb,one_hop,3,7077,300.4246,True,,,read
arangodb,one_hop,4,7211,300.7424,True,,,read
arangodb,one_hop,5,7232,259.5535,True,,,read
arangodb,one_hop,6,9292,259.4344,True,,,read
arangodb,one_hop,7,10094,258.5569,True,,,read
arangodb,one_hop,8,10180,263.9324,True,,,read
arangodb,one_hop,9,12020,259.3904,True,,,read
arangodb,one_hop,10,101328,297.793,True,,,read
arangodb,one_hop,11,102194,301.0674,True,,,read
arangodb,one_hop,12,102318,258.7391,True,,,read
arangodb,one_hop,13,104122,258.5733,True,,,read
arangodb,one_hop,14,104187,261.1484,True,,,read
arangodb,one_hop,15,105349,262.1497,True,,,read
arangodb,one_hop,16,106261,257.6348,True,,,read
arangodb,one_hop,17,107028,301.5731,True,,,read
arangodb,one_hop,18,107093,300.0764,True,,,read
arangodb,one_hop,19,107295,260.1467,True,,,read
arangodb,one_hop,20,108250,261.3675,True,,,read
arangodb,one_hop,21,109054,260.5929,True,,,read
arangodb,one_hop,22,109073,259.9119,True,,,read
arangodb,one_hop,23,110264,259.4052,True,,,read
arangodb,one_hop,24,110376,297.08,True,,,read
arangodb,one_hop,25,201053,301.3637,True,,,read
arangodb,one_hop,26,204096,300.7454,True,,,read
arangodb,one_hop,27,204176,258.4887,True,,,read
arangodb,one_hop,28,204182,257.6688,True,,,read
arangodb,one_hop,29,205038,261.2852,True,,,read
arangodb,one_hop,30,207048,260.2423,True,,,read
arangodb,one_hop,31,207227,260.9024,True,,,read
arangodb,one_hop,32,208138,300.7573,True,,,read
arangodb,one_hop,33,208159,298.6115,True,,,read
arangodb,one_hop,34,209058,258.0652,True,,,read
arangodb,one_hop,35,209108,258.4978,True,,,read
arangodb,one_hop,36,210254,260.6657,True,,,read
arangodb,one_hop,37,302080,257.8713,True,,,read
arangodb,one_hop,38,9208245,261.4649,True,,,read
arangodb,one_hop,39,9304275,303.7435,True,,,read
arangodb,one_hop,40,9305258,299.4696,True,,,read
arangodb,one_hop,41,9306241,259.1127,True,,,read
arangodb,one_hop,42,9307320,262.5696,True,,,read
arangodb,one_hop,43,9309220,260.8526,True,,,read
arangodb,one_hop,44,9309273,265.8896,True,,,read
arangodb,one_hop,45,9309293,259.4233,True,,,read
arangodb,one_hop,46,9310213,293.7996,True,,,read
arangodb,one_hop,47,9311240,296.8159,True,,,read
arangodb,one_hop,48,9401244,300.5038,True,,,read
arangodb,one_hop,49,9401326,259.0918,True,,,read
arangodb,one_hop,50,9403260,260.2639,True,,,read
arangodb,one_hop,51,9403269,263.2693,True,,,read
arangodb,one_hop,52,9407272,260.1579,True,,,read
arangodb,one_hop,53,9407278,260.464,True,,,read
arangodb,one_hop,54,9407401,295.6492,True,,,read
arangodb,one_hop,55,9501227,300.5814,True,,,read
arangodb,one_hop,56,9501350,259.5251,True,,,read
arangodb,one_hop,57,9501376,258.1148,True,,,read
arangodb,one_hop,58,9502306,259.2811,True,,,read
arangodb,one_hop,59,9502360,261.0455,True,,,read
arangodb,one_hop,60,9503294,265.1277,True,,,read
arangodb,one_hop,61,9504347,298.8677,True,,,read
arangodb,one_hop,62,9505303,256.3779,True,,,read
arangodb,one_hop,63,9505310,258.137,True,,,read
arangodb,one_hop,64,9505324,260.1105,True,,,read
arangodb,one_hop,65,9508299,258.9648,True,,,read
arangodb,one_hop,66,9509349,259.293,True,,,read
arangodb,one_hop,67,9603367,259.8348,True,,,read
arangodb,one_hop,68,9603420,258.4598,True,,,read
arangodb,one_hop,69,9606252,288.9595,True,,,read
arangodb,one_hop,70,9609217,299.6631,True,,,read
arangodb,one_hop,71,9609470,257.5261,True,,,read
arangodb,one_hop,72,9610393,258.6658,True,,,read
arangodb,one_hop,73,9701246,259.3825,True,,,read
arangodb,one_hop,74,9702270,262.2968,True,,,read
arangodb,one_hop,75,9703209,257.6764,True,,,read
arangodb,one_hop,76,9703232,261.3304,True,,,read
arangodb,one_hop,77,9703423,260.689,True,,,read
arangodb,one_hop,78,9705262,279.9766,True,,,read
arangodb,one_hop,79,9706541,259.1808,True,,,read
arangodb,one_hop,80,9707250,259.8215,True,,,read
arangodb,one_hop,81,9707282,262.9972,True,,,read
arangodb,one_hop,82,9707295,260.2266,True,,,read
arangodb,one_hop,83,9710376,259.4677,True,,,read
arangodb,one_hop,84,9711261,297.8768,True,,,read
arangodb,one_hop,85,9711379,302.4486,True,,,read
arangodb,one_hop,86,9803439,259.8085,True,,,read
arangodb,one_hop,87,9804298,262.5156,True,,,read
arangodb,one_hop,88,9804313,259.1216,True,,,read
arangodb,one_hop,89,9804343,261.1517,True,,,read
arangodb,one_hop,90,9805465,257.7528,True,,,read
arangodb,one_hop,91,9809529,301.1216,True,,,read
arangodb,one_hop,92,9810418,296.3438,True,,,read
arangodb,one_hop,93,9811432,259.5668,True,,,read
arangodb,one_hop,94,9811469,256.8354,True,,,read
arangodb,one_hop,95,9812342,259.283,True,,,read
arangodb,one_hop,96,9906506,259.7985,True,,,read
arangodb,one_hop,97,9907534,257.6002,True,,,read
arangodb,one_hop,98,9909234,310.9627,True,,,read
arangodb,one_hop,99,9909512,296.6179,True,,,read
