database,workload,iteration,start_node,latency_ms,success,error,concurrency,op_type
cognodb,one_hop,0,2106,250.6737,True,,,read
cognodb,one_hop,1,6114,251.7847,True,,,read
cognodb,one_hop,2,6217,249.3309,True,,,read
cognodb,one_hop,3,7077,249.2694,True,,,read
cognodb,one_hop,4,7211,250.1673,True,,,read
cognodb,one_hop,5,7232,249.9631,True,,,read
cognodb,one_hop,6,9292,248.7841,True,,,read
cognodb,one_hop,7,10094,250.2708,True,,,read
cognodb,one_hop,8,10180,248.5252,True,,,read
cognodb,one_hop,9,12020,250.0195,True,,,read
cognodb,one_hop,10,101328,249.0462,True,,,read
cognodb,one_hop,11,102194,251.4232,True,,,read
cognodb,one_hop,12,102318,249.427,True,,,read
cognodb,one_hop,13,104122,248.1371,True,,,read
cognodb,one_hop,14,104187,250.9577,True,,,read
cognodb,one_hop,15,105349,252.0281,True,,,read
cognodb,one_hop,16,106261,248.493,True,,,read
cognodb,one_hop,17,107028,250.9089,True,,,read
cognodb,one_hop,18,107093,250.7313,True,,,read
cognodb,one_hop,19,107295,250.4181,True,,,read
cognodb,one_hop,20,108250,288.4518,True,,,read
cognodb,one_hop,21,109054,265.7433,True,,,read
cognodb,one_hop,22,109073,250.7567,True,,,read
cognodb,one_hop,23,110264,250.5912,True,,,read
cognodb,one_hop,24,110376,251.7683,True,,,read
cognodb,one_hop,25,201053,249.6687,True,,,read
cognodb,one_hop,26,204096,248.1395,True,,,read
cognodb,one_hop,27,204176,248.2264,True,,,read
cognodb,one_hop,28,204182,248.4204,True,,,read
cognodb,one_hop,29,205038,249.0391,True,,,read
cognodb,one_hop,30,207048,248.3158,True,,,read
cognodb,one_hop,31,207227,249.2614,True,,,read
cognodb,one_hop,32,208138,249.4801,True,,,read
cognodb,one_hop,33,208159,248.9227,True,,,read
cognodb,one_hop,34,209058,247.9292,True,,,read
cognodb,one_hop,35,209108,247.862,True,,,read
cognodb,one_hop,36,210254,247.8587,True,,,read
cognodb,one_hop,37,302080,248.6634,True,,,read
cognodb,one_hop,38,9208245,249.4834,True,,,read
cognodb,one_hop,39,9304275,252.3809,True,,,read
cognodb,one_hop,40,9305258,250.4057,True,,,read
cognodb,one_hop,41,9306241,250.6224,True,,,read
cognodb,one_hop,42,9307320,249.0334,True,,,read
cognodb,one_hop,43,9309220,249.8176,True,,,read
cognodb,one_hop,44,9309273,248.3972,True,,,read
cognodb,one_hop,45,9309293,253.8609,True,,,read
cognodb,one_hop,46,9310213,249.546,True,,,read
