database,workload,iteration,start_node,latency_ms,success,error,concurrency,op_type
falkordb,one_hop,0,2106,26.2324,True,,,read
falkordb,one_hop,1,6114,25.4146,True,,,read
falkordb,one_hop,2,6217,26.2653,True,,,read
falkordb,one_hop,3,7077,26.2935,True,,,read
falkordb,one_hop,4,7211,26.4351,True,,,read
falkordb,one_hop,5,7232,26.8308,True,,,read
falkordb,one_hop,6,9292,24.6809,True,,,read
falkordb,one_hop,7,10094,26.6129,True,,,read
falkordb,one_hop,8,10180,25.0007,True,,,read
falkordb,one_hop,9,12020,24.161,True,,,read
falkordb,one_hop,10,101328,26.0614,True,,,read
falkordb,one_hop,11,102194,26.0253,True,,,read
falkordb,one_hop,12,102318,26.0866,True,,,read
falkordb,one_hop,13,104122,24.0551,True,,,read
falkordb,one_hop,14,104187,25.3608,True,,,read
falkordb,one_hop,15,105349,24.2089,True,,,read
falkordb,one_hop,16,106261,25.5601,True,,,read
falkordb,one_hop,17,107028,26.3473,True,,,read
falkordb,one_hop,18,107093,25.4452,True,,,read
falkordb,one_hop,19,107295,24.2103,True,,,read
falkordb,one_hop,20,108250,25.9488,True,,,read
falkordb,one_hop,21,109054,26.862,True,,,read
falkordb,one_hop,22,109073,27.2077,True,,,read
falkordb,one_hop,23,110264,24.6132,True,,,read
falkordb,one_hop,24,110376,25.9212,True,,,read
falkordb,one_hop,25,201053,25.3164,True,,,read
falkordb,one_hop,26,204096,23.4796,True,,,read
falkordb,one_hop,27,204176,26.1159,True,,,read
falkordb,one_hop,28,204182,24.9247,True,,,read
falkordb,one_hop,29,205038,25.3733,True,,,read
falkordb,one_hop,30,207048,25.8361,True,,,read
falkordb,one_hop,31,207227,26.2383,True,,,read
falkordb,one_hop,32,208138,25.831,True,,,read
falkordb,one_hop,33,208159,29.2762,True,,,read
falkordb,one_hop,34,209058,25.523,True,,,read
falkordb,one_hop,35,209108,25.5483,True,,,read
falkordb,one_hop,36,210254,26.6337,True,,,read
falkordb,one_hop,37,302080,26.3632,True,,,read
falkordb,one_hop,38,9208245,25.9002,True,,,read
falkordb,one_hop,39,9304275,26.2428,True,,,read
falkordb,one_hop,40,9305258,26.6183,True,,,read
falkordb,one_hop,41,9306241,25.7526,True,,,read
falkordb,one_hop,42,9307320,25.9794,True,,,read
falkordb,one_hop,43,9309220,25.746,True,,,read
falkordb,one_hop,44,9309273,25.9569,True,,,read
falkordb,one_hop,45,9309293,26.1417,True,,,read
falkordb,one_hop,46,9310213,30.2742,True,,,read
falkordb,one_hop,47,9311240,27.4215,True,,,read
falkordb,one_hop,48,9401244,26.054,True,,,read
falkordb,one_hop,49,9401326,26.6636,True,,,read
falkordb,one_hop,50,9403260,26.0554,True,,,read
falkordb,one_hop,51,9403269,25.2041,True,,,read
falkordb,one_hop,52,9407272,26.534,True,,,read
falkordb,one_hop,53,9407278,25.497,True,,,read
falkordb,one_hop,54,9407401,26.2298,True,,,read
falkordb,one_hop,55,9501227,26.2502,True,,,read
falkordb,one_hop,56,9501350,26.6602,True,,,read
falkordb,one_hop,57,9501376,26.3039,True,,,read
falkordb,one_hop,58,9502306,26.7439,True,,,read
falkordb,one_hop,59,9502360,24.3427,True,,,read
falkordb,one_hop,60,9503294,26.5779,True,,,read
falkordb,one_hop,61,9504347,25.9468,True,,,read
falkordb,one_hop,62,9505303,26.2304,True,,,read
falkordb,one_hop,63,9505310,29.2499,True,,,read
falkordb,one_hop,64,9505324,25.5154,True,,,read
falkordb,one_hop,65,9508299,25.6545,True,,,read
falkordb,one_hop,66,9509349,26.1364,True,,,read
falkordb,one_hop,67,9603367,27.0316,True,,,read
falkordb,one_hop,68,9603420,30.1752,True,,,read
falkordb,one_hop,69,9606252,26.432,True,,,read
falkordb,one_hop,70,9609217,26.1667,True,,,read
falkordb,one_hop,71,9609470,25.9364,True,,,read
falkordb,one_hop,72,9610393,26.4826,True,,,read
falkordb,one_hop,73,9701246,26.5217,True,,,read
falkordb,one_hop,74,9702270,25.1964,True,,,read
falkordb,one_hop,75,9703209,25.8973,True,,,read
