database,workload,iteration,start_node,latency_ms,success,error,concurrency,op_type
memgraph,one_hop,0,2106,219.4479,True,,,read
memgraph,one_hop,1,6114,220.5373,True,,,read
memgraph,one_hop,2,6217,222.615,True,,,read
memgraph,one_hop,3,7077,221.6606,True,,,read
memgraph,one_hop,4,7211,221.0965,True,,,read
memgraph,one_hop,5,7232,221.5795,True,,,read
memgraph,one_hop,6,9292,221.0415,True,,,read
memgraph,one_hop,7,10094,219.1705,True,,,read
memgraph,one_hop,8,10180,219.7094,True,,,read
memgraph,one_hop,9,12020,219.5546,True,,,read
memgraph,one_hop,10,101328,219.7865,True,,,read
memgraph,one_hop,11,102194,220.098,True,,,read
memgraph,one_hop,12,102318,220.8634,True,,,read
memgraph,one_hop,13,104122,220.6429,True,,,read
memgraph,one_hop,14,104187,221.488,True,,,read
memgraph,one_hop,15,105349,220.6681,True,,,read
memgraph,one_hop,16,106261,220.2833,True,,,read
memgraph,one_hop,17,107028,221.2075,True,,,read
memgraph,one_hop,18,107093,220.6097,True,,,read
memgraph,one_hop,19,107295,906.0726,True,,,read
memgraph,one_hop,20,108250,223.8722,True,,,read
memgraph,one_hop,21,109054,220.1691,True,,,read
memgraph,one_hop,22,109073,224.244,True,,,read
memgraph,one_hop,23,110264,219.0291,True,,,read
memgraph,one_hop,24,110376,219.6054,True,,,read
memgraph,one_hop,25,201053,219.322,True,,,read
memgraph,one_hop,26,204096,219.9404,True,,,read
memgraph,one_hop,27,204176,220.9378,True,,,read
memgraph,one_hop,28,204182,219.499,True,,,read
memgraph,one_hop,29,205038,219.6626,True,,,read
memgraph,one_hop,30,207048,222.6282,True,,,read
memgraph,one_hop,31,207227,220.5545,True,,,read
memgraph,one_hop,32,208138,219.4076,True,,,read
memgraph,one_hop,33,208159,218.8797,True,,,read
memgraph,one_hop,34,209058,218.9034,True,,,read
memgraph,one_hop,35,209108,219.3203,True,,,read
memgraph,one_hop,36,210254,218.7076,True,,,read
memgraph,one_hop,37,302080,219.7815,True,,,read
memgraph,one_hop,38,9208245,218.5224,True,,,read
memgraph,one_hop,39,9304275,220.5289,True,,,read
memgraph,one_hop,40,9305258,220.2141,True,,,read
memgraph,one_hop,41,9306241,220.0245,True,,,read
memgraph,one_hop,42,9307320,245.9446,True,,,read
memgraph,one_hop,43,9309220,220.3208,True,,,read
memgraph,one_hop,44,9309273,253.5135,True,,,read
memgraph,one_hop,45,9309293,219.9051,True,,,read
memgraph,one_hop,46,9310213,260.1521,True,,,read
memgraph,one_hop,47,9311240,220.5289,True,,,read
memgraph,one_hop,48,9401244,222.343,True,,,read
memgraph,one_hop,49,9401326,221.4771,True,,,read
memgraph,one_hop,50,9403260,222.2742,True,,,read
memgraph,one_hop,51,9403269,221.2974,True,,,read
memgraph,one_hop,52,9407272,220.8949,True,,,read
memgraph,one_hop,53,9407278,220.3071,True,,,read
memgraph,one_hop,54,9407401,218.753,True,,,read
memgraph,one_hop,55,9501227,223.515,True,,,read
memgraph,one_hop,56,9501350,221.1549,True,,,read
memgraph,one_hop,57,9501376,219.2203,True,,,read
memgraph,one_hop,58,9502306,223.06,True,,,read
memgraph,one_hop,59,9502360,220.828,True,,,read
memgraph,one_hop,60,9503294,220.0383,True,,,read
memgraph,one_hop,61,9504347,219.423,True,,,read
memgraph,one_hop,62,9505303,218.8432,True,,,read
memgraph,one_hop,63,9505310,220.4777,True,,,read
memgraph,one_hop,64,9505324,218.8124,True,,,read
memgraph,one_hop,65,9508299,221.6329,True,,,read
memgraph,one_hop,66,9509349,220.7879,True,,,read
memgraph,one_hop,67,9603367,222.5416,True,,,read
memgraph,one_hop,68,9603420,219.574,True,,,read
memgraph,one_hop,69,9606252,220.0385,True,,,read
memgraph,one_hop,70,9609217,220.4754,True,,,read
memgraph,one_hop,71,9609470,221.7155,True,,,read
memgraph,one_hop,72,9610393,219.1518,True,,,read
memgraph,one_hop,73,9701246,219.2585,True,,,read
memgraph,one_hop,74,9702270,219.86,True,,,read
memgraph,one_hop,75,9703209,221.5553,True,,,read
memgraph,one_hop,76,9703232,220.0253,True,,,read
memgraph,one_hop,77,9703423,222.1865,True,,,read
memgraph,one_hop,78,9705262,221.2384,True,,,read
