database,workload,iteration,start_node,latency_ms,success,error,concurrency,op_type
neo4j,one_hop,0,2106,54.4926,True,,,read
neo4j,one_hop,1,6114,53.0128,True,,,read
neo4j,one_hop,2,6217,406.2155,True,,,read
neo4j,one_hop,3,7077,51.671,True,,,read
neo4j,one_hop,4,7211,53.0565,True,,,read
neo4j,one_hop,5,7232,55.111,True,,,read
neo4j,one_hop,6,9292,54.2441,True,,,read
neo4j,one_hop,7,10094,52.3034,True,,,read
neo4j,one_hop,8,10180,52.1388,True,,,read
neo4j,one_hop,9,12020,52.6774,True,,,read
neo4j,one_hop,10,101328,57.4618,True,,,read
neo4j,one_hop,11,102194,54.434,True,,,read
neo4j,one_hop,12,102318,52.2043,True,,,read
neo4j,one_hop,13,104122,52.3761,True,,,read
neo4j,one_hop,14,104187,53.4109,True,,,read
neo4j,one_hop,15,105349,53.8305,True,,,read
neo4j,one_hop,16,106261,52.6865,True,,,read
neo4j,one_hop,17,107028,54.7196,True,,,read
neo4j,one_hop,18,107093,55.1243,True,,,read
neo4j,one_hop,19,107295,54.8141,True,,,read
neo4j,one_hop,20,108250,56.1441,True,,,read
neo4j,one_hop,21,109054,55.7972,True,,,read
neo4j,one_hop,22,109073,54.4774,True,,,read
neo4j,one_hop,23,110264,52.8236,True,,,read
neo4j,one_hop,24,110376,54.6393,True,,,read
neo4j,one_hop,25,201053,53.9472,True,,,read
neo4j,one_hop,26,204096,52.1421,True,,,read
neo4j,one_hop,27,204176,52.6014,True,,,read
neo4j,one_hop,28,204182,54.7509,True,,,read
neo4j,one_hop,29,205038,52.1548,True,,,read
neo4j,one_hop,30,207048,51.6988,True,,,read
neo4j,one_hop,31,207227,51.6828,True,,,read
neo4j,one_hop,32,208138,53.7494,True,,,read
neo4j,one_hop,33,208159,54.8304,True,,,read
neo4j,one_hop,34,209058,52.823,True,,,read
neo4j,one_hop,35,209108,54.6311,True,,,read
neo4j,one_hop,36,210254,52.4267,True,,,read
neo4j,one_hop,37,302080,52.7122,True,,,read
neo4j,one_hop,38,9208245,58.27,True,,,read
neo4j,one_hop,39,9304275,53.2921,True,,,read
neo4j,one_hop,40,9305258,54.0593,True,,,read
neo4j,one_hop,41,9306241,53.3059,True,,,read
neo4j,one_hop,42,9307320,52.2376,True,,,read
neo4j,one_hop,43,9309220,58.6185,True,,,read
neo4j,one_hop,44,9309273,52.7443,True,,,read
neo4j,one_hop,45,9309293,55.4755,True,,,read
neo4j,one_hop,46,9310213,54.8748,True,,,read
neo4j,one_hop,47,9311240,54.907,True,,,read
neo4j,one_hop,48,9401244,54.0996,True,,,read
neo4j,one_hop,49,9401326,52.9445,True,,,read
neo4j,one_hop,50,9403260,55.0496,True,,,read
neo4j,one_hop,51,9403269,55.0467,True,,,read
neo4j,one_hop,52,9407272,53.9201,True,,,read
neo4j,one_hop,53,9407278,51.6272,True,,,read
neo4j,one_hop,54,9407401,55.1949,True,,,read
neo4j,one_hop,55,9501227,54.3264,True,,,read
neo4j,one_hop,56,9501350,52.8703,True,,,read
neo4j,one_hop,57,9501376,52.0728,True,,,read
neo4j,one_hop,58,9502306,54.679,True,,,read
neo4j,one_hop,59,9502360,55.1839,True,,,read
neo4j,one_hop,60,9503294,54.7003,True,,,read
neo4j,one_hop,61,9504347,54.8792,True,,,read
neo4j,one_hop,62,9505303,54.1187,True,,,read
neo4j,one_hop,63,9505310,51.8476,True,,,read
neo4j,one_hop,64,9505324,56.2102,True,,,read
neo4j,one_hop,65,9508299,53.9916,True,,,read
neo4j,one_hop,66,9509349,54.5797,True,,,read
neo4j,one_hop,67,9603367,55.2898,True,,,read
neo4j,one_hop,68,9603420,54.9623,True,,,read
neo4j,one_hop,69,9606252,55.0349,True,,,read
neo4j,one_hop,70,9609217,55.1129,True,,,read
neo4j,one_hop,71,9609470,54.0335,True,,,read
neo4j,one_hop,72,9610393,52.5716,True,,,read
neo4j,one_hop,73,9701246,54.4626,True,,,read
neo4j,one_hop,74,9702270,51.9317,True,,,read
neo4j,one_hop,75,9703209,55.4167,True,,,read
neo4j,one_hop,76,9703232,56.5574,True,,,read
neo4j,one_hop,77,9703423,52.0068,True,,,read
neo4j,one_hop,78,9705262,52.6668,True,,,read
neo4j,one_hop,79,9706541,53.4894,True,,,read
neo4j,one_hop,80,9707250,53.1182,True,,,read
neo4j,one_hop,81,9707282,52.5047,True,,,read
neo4j,one_hop,82,9707295,69.5571,True,,,read
neo4j,one_hop,83,9710376,53.1271,True,,,read
neo4j,one_hop,84,9711261,53.7039,True,,,read
neo4j,one_hop,85,9711379,54.6629,True,,,read
